Element Type,Details,Timestamp
Header,Promociones exclusivas con,2024-06-04 18:51:27
Header,Verano Loco,2024-06-04 18:51:27
Header,Nuevos Productos,2024-06-04 18:51:27
Header,Vive Saludable,2024-06-04 18:51:27
Header,Mascotas,2024-06-04 18:51:27
Header,Exclusivos en línea,2024-06-04 18:51:27
Header,Live,2024-06-04 18:51:27
Header,Promociones,2024-06-04 18:51:27
Header,Filtros,2024-06-04 18:51:27
Header,arroz,2024-06-04 18:51:27
Input Field,"Type: text, Name: unnamed",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Aderezos y Salsas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alimentos Congelados",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alimentos enlatados y conservas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Arroz Frijol y Semillas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Bebés",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Bebidas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Cocina",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Cosméticos",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Cuidado de la piel",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Desayuno y Cereales",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: A Granel",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alimentación y Fórmulas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alta Proteina",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Arroz",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Atoles",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Atunes",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Baño",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Barras",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Barras de Cereal",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Barras de Granola",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alimento Húmedo",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Alimento Seco",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Arros",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Arroz con Leche",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Cereales",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Cucharas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Galletas",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Galletas de Arroz",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Granos, semillas y frituras",2024-06-04 18:51:27
Input Field,"Type: checkbox, Name: Harinas para Hot Cakes",2024-06-04 18:51:27
